Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What Type of Surface is the Graffiti on?,Where is the Graffiti located?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location
10/13/2017,Completed,10/13/2017,17-06889771,Graffiti Removal,Metal - Painted,Front,4825 N BROADWAY,60640,1167442.01117339,1932286.54002437,46,20,3,34,41.9697794932063,-87.65954359183496,"(41.9697794932063, -87.65954359183496)"
10/13/2017,Completed,10/13/2017,17-06889777,Graffiti Removal,Metal - Painted,Pole,1779 W FOSTER AVE,60640,1163393.04011269,1934570.17069851,40,20,4,31,41.97598997523039,-87.67460884023666,"(41.97598997523039, -87.67460884023666)"
10/13/2017,Completed,10/13/2017,17-06889810,Graffiti Removal,Metal - Painted,Pole,1775 W FOSTER AVE,60640,1163399.14011269,1934570.37069851,40,20,4,31,41.97598997523039,-87.67460884023666,"(41.97598997523039, -87.67460884023666)"
10/13/2017,Completed,10/13/2017,17-06889821,Graffiti Removal,Metal - Painted,Door,2501 W 21ST ST,60608,1160076.1902226,1889996.44418778,28,10,31,,41.853746402792176,-87.6880490396238,"(41.853746402792176, -87.6880490396238)"
10/13/2017,Completed,10/13/2017,17-06889824,Graffiti Removal,Metal - Painted,Pole,1409 W ADDISON ST,60613,1166234.41502654,1924009.53500074,44,19,6,27,41.946951390474176,-87.66440900719368,"(41.946951390474176, -87.66440900719368)"
10/13/2017,Completed,10/13/2017,17-06889832,Graffiti Removal,Metal - Painted,Dumpster,1413 W ADDISON ST,60613,1166191.81502654,1924008.23500074,44,19,6,27,41.94694850705513,-87.66457718270165,"(41.94694850705513, -87.66457718270165)"
10/13/2017,Completed,10/13/2017,17-06889833,Graffiti Removal,Metal - Painted,Pole,1803 W FOSTER AVE,60640,1163283.19999699,1934566.43108788,40,20,4,31,41.975985741692064,-87.67476593184328,"(41.975985741692064, -87.67476593184328)"
10/13/2017,Completed,10/13/2017,17-06884362,Graffiti Removal,Metal - Painted,Pole,2408 N CALIFORNIA AVE,60647,1157303.56511844,1915885.0286217,1,14,22,,41.925122266168124,-87.6975683051077,"(41.925122266168124, -87.6975683051077)"
10/13/2017,Completed,10/13/2017,17-06884398,Graffiti Removal,Metal - Painted,Pole,2400 N CALIFORNIA AVE,60647,1157305.06511844,1915831.3286217,1,14,22,,41.92489628455924,-87.69756202077956,"(41.92489628455924, -87.69756202077956)"
10/13/2017,Completed,10/13/2017,17-06884477,Graffiti Removal,Metal - Painted,Pole,2358 N CALIFORNIA AVE,60647,1157310.68901733,1915606.28002779,1,14,22,,41.924529892234915,-87.6975524943243,"(41.924529892234915, -87.6975524943243)"
10/13/2017,Completed,10/13/2017,17-06884493,Graffiti Removal,Metal - Painted,Pole,2801 W FULLERTON AVE,60647,1157293.96511844,1915831.1286217,1,14,22,,41.924696904232945,-87.69747184229614,"(41.924696904232945, -87.69747184229614)"
10/13/2017,Completed,10/13/2017,17-06884495,Graffiti Removal,Metal - Unpainted,Garage,10937 S BUFFALO AVE,60617,1199876.41820683,1833039.36172849,10,4,52,,41.69622607597352,-87.54363982535202,"(41.69622607597352, -87.54363982535202)"
10/13/2017,Completed,10/13/2017,17-06884499,Graffiti Removal,Metal - Painted,Fence,2348 N CALIFORNIA AVE,60647,1157312.08901733,1915551.38002779,1,14,22,,41.92424557794582,-87.69754700739806,"(41.92424557794582, -87.69754700739806)"
10/13/2017,Completed,10/13/2017,17-06884507,Graffiti Removal,Metal - Painted,Fence,2344 N CALIFORNIA AVE,60647,1157312.58901733,1915529.38002779,1,14,22,,41.92413166776701,-87.69754469096746,"(41.92413166776701, -87.69754469096746)"
10/13/2017,Completed,10/13/2017,17-06884522,Graffiti Removal,Metal - Painted,Pole,2338 N CALIFORNIA AVE,60647,1157313.38901733,1915496.48002779,1,14,22,,41.92395994166618,-87.69754060496231,"(41.92395994166618, -87.69754060496231)"
10/13/2017,Completed,10/13/2017,17-06884559,Graffiti Removal,Metal - Painted,Front,2528 N MILWAUKEE AVE,60647,1155372.4532929,1916719.9687868,32,14,22,,41.9272193235806,-87.70461483140791,"(41.9272193235806, -87.70461483140791)"
10/13/2017,Completed,10/13/2017,17-06884602,Graffiti Removal,Metal - Painted,Pole,5324 N KEDZIE AVE,60625,1154082.01517149,1935201.69997145,39,17,13,,41.97835598612056,-87.70889289616608,"(41.97835598612056, -87.70889289616608)"
10/13/2017,Completed,10/13/2017,17-06884606,Graffiti Removal,Metal - Painted,Front,5323 N KEDZIE AVE,60625,1154082.21517149,1935194.89997145,40,17,13,,41.97824374497149,-87.70859579894743,"(41.97824374497149, -87.70859579894743)"
10/13/2017,Completed,10/13/2017,17-06884686,Graffiti Removal,Metal - Painted,Pole,5334 N KEDZIE AVE,60625,1154080.31517149,1935269.59997145,39,17,13,,41.978642441465354,-87.70890010562603,"(41.978642441465354, -87.70890010562603)"
